14:46 KITKAT placed suspicious WATER_BUCKET @ world: x181, z120
14:48 KITKAT    : its me preston
18:09 KITKAT    : tim
18:09 tim       : ya
18:09 KITKAT    : i found another emerald
18:09 tim       : noice
18:09 KITKAT    : yes
18:09 KITKAT    : where are you currently
18:10 tim       : in the minre
18:10 KITKAT    : alr
18:10 tim       : *mine*
18:18 tim       : e
18:18 KITKAT    : team four corners tbhhhhhh>>>>
18:19 Spoke     : wth hapend to my base
18:19 KITKAT    : L
18:19 Spoke     : bella can i git the gold back
18:21 Spoke     : tim
18:23 Spoke     : hoho
18:25 tim       : come back peyton
18:25 tim       : little scaredy cat
18:26 tim       : peyton come here little scaredy cat
18:27 Spoke     : KK
18:27 tim       : come here
18:28 Spoke     : hoho
18:28 Spoke     : i came
18:28 tim       : come back
18:29 tim       : but i have something for u
18:29 tim       : no kill
18:31 BigJuicyBalls: yall still getting free time
18:31 tim          : yeah u got low didnt ya
18:32 Spoke        : no
18:32 Spoke        : corbin loged on
18:32 tim          : yeah u did
18:32 tim          : i senn
18:32 tim          : seen
18:32 Cenozo       : Bro is scared of me
18:32 Spoke        : ya
18:32 tim          : who
18:32 Cenozo       : Spoke.
18:32 tim          : duh
18:33 tim          : u are the most op
18:33 tim          : r
18:33 Cenozo       : I see he remembers last time. I gotta make the beat extra hard (no homo)
18:33 BigJuicyBalls: yes homo
18:33 Cenozo       : NUH UH
18:33 Cenozo       : NO HOMO
18:33 b___         : e;
18:33 Cenozo       : >:(
18:34 Cenozo       : d
18:34 BigJuicyBalls: POV you violently beat your son because he never handed you a beer
18:35 Spoke        : im laging
18:35 Spoke        : corbin it wont let me fite him
18:36 Spoke        : good job
18:36 Cenozo       : /msg Adrian Harder~ 
18:38 Spoke        : good job you kild me after i ran out of food
18:39 KITKAT       : no
18:39 KITKAT       : CORBIN YOU SCARE ME SOMEtiMES
18:40 Spoke        : u got me
18:40 KITKAT       : WHAT
18:40 Spoke        : no
18:40 S03thinx     : bella got no drawls on
18:40 tim          : go
18:40 tim          : take it and go
18:40 Spoke        : can i git some stuff
18:40 BigJuicyBalls: take it like a goo boy
18:40 tim          : go
18:41 KITKAT       : TAKE IT LIKE A GOOD BOY???
18:41 KITKAT       : WHAT
18:41 Spoke        : some stuff
18:41 Spoke        : pls
18:41 Spoke        : armer
18:41 Spoke        : pls
18:41 Spoke        : iron
18:41 Spoke        : thx
18:41 Spoke        : he killed me bc i was out off food
18:42 KITKAT       : W tbh
18:42 Spoke        : i sory
18:42 Spoke        : i no that dont mader tho
18:42 tim          : u aint getting it back tho
18:43 KITKAT       : peyton why are you speaking like a caveman
18:43 tim          : that was not me
18:43 Spoke        : preston fight me wen i got armore \
18:43 b___         : t
18:44 S03thinx     : hmmmmmmmmmmmmmmmmmmm who wanna get freaky
18:44 KITKAT       : lowkey zip it
18:44 tim          : ahhhghhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh nnnnnnnnnnnnnaaaaaaaaaaaahhhhhhhhhhhhhhhhhhhhhhhhhh
18:46 John         : t
18:47 KITKAT       : yo tim
18:47 tim          : ye
18:47 KITKAT       : could you use that water bucket over here
18:48 KITKAT       : bro
18:50 Adrian       : hmmmmmmmmmmm
18:59 tim placed suspicious WATER_BUCKET @ world: x57, z85
19:13 Spoke     : heeeheeee
20:49 Cenozo    : shop
20:49 Cenozo    : buy
